,name,latitude,longitude,address,review,savecount,visitorreviewscore
176,맥파이앤타이거 신사티룸,37.5205582,127.0246529,서울 강남구 논현로153길 44 클레어스서울 2F 맥파이앤타이거 신사티룸,699,"15,000",4.87
177,크리에잇쿠키 역삼점,37.5028936,127.0351778,서울 강남구 테헤란로25길 36,433,"6,000",4.53
178,플레어비 도곡점,37.4834409,127.0449603,서울 강남구 논현로26길 33,870,"5,000",4.41
179,카페 디올,37.5248135,127.0466800,서울 강남구 압구정로 464 하우스 오브 디올 5층,635,"10,000",
180,할리스 강남역점,37.4987097,127.0277783,서울 강남구 강남대로 402,"2,322",900,4.43
181,홍콩다방 파르나스몰점,37.5086929,127.0604357,서울 강남구 테헤란로 521 지하1층 F-3b,422,400,4.54
182,조선델리 더 부티크,37.5028813,127.0413486,서울 강남구 테헤란로 231 조선팰리스 24층,308,700,4.56
183,소나,37.5207336,127.0216305,서울 강남구 강남대로162길 40 2층 SONA,240,"12,000",4.32
184,카페 라미스콘 청담점,37.5253202,127.0389666,서울 강남구 도산대로53길 32,547,"4,000",4.37
185,쁠로13,37.5160992,127.0223139,서울 강남구 도산대로8길 13 1층,774,"6,000",4.46
186,아우어베이커리 청담사거리점,37.5252737,127.0488741,서울 강남구 압구정로79길 19 1층 아우어베이커리,780,"2,000",4.48
187,투오프커피,37.4952709,127.0338389,서울 강남구 역삼로9길 20 1층,77,900,
188,카페 델 꼬또네,37.5184289,127.0406206,서울 강남구 선릉로 711 1층 103호,11,"11,000",
189,비테도산,37.5274813,127.0390240,서울 강남구 선릉로161길 18 5층,10,"6,000",
190,Neue Atmung,37.5202705,127.0259465,서울 강남구 도산대로23길 19 1층,489,"17,000",4.49
191,에이치마켓,37.5202553,127.0399532,서울 강남구 선릉로 739,278,"3,000",3.98
192,심재 도곡,37.4837427,127.0449339,서울 강남구 논현로28길 34 지상 1층,624,"4,000",4.46
193,파이하우스,37.4979032,127.0549449,서울 강남구 선릉로62길 29 1층,245,"2,000",4.61
194,더스노우 대치본점,37.5012142,127.0510113,서울 강남구 선릉로76길 4 코람벤처타운 1층,237,200,
195,한남베르그 도산,37.5250136,127.0369198,서울 강남구 도산대로49길 31 1층 105호,57,"1,000",
196,비건비거닝,37.5030383,127.0491231,서울 강남구 선릉로85길 6 호텔뉴브 1층 비건비거닝,65,"2,000",4.46
197,해피해피케이크,37.5107674,127.0432183,서울 강남구 선릉로111길 5,297,"8,000",4.42
198,원포셰,37.4835451,127.0461664,"서울 강남구 논현로26길 46-8 1층, 원포셰",72,"4,000",
199,스타벅스 청담스타R점,37.5252160,127.0418270,서울 강남구 도산대로57길 24,"2,736","3,000",4.49
200,브라운홀릭,37.5010465,127.0286912,서울 강남구 강남대로98길 25,567,"4,000",4.44
201,카페마마스 역삼점,37.4990213,127.0368151,서울 강남구 논현로85길 7 1F,"1,027","1,000",4.41
202,에르제 도산,37.5268888,127.0361691,서울 강남구 압구정로46길 28 1층,188,"7,000",
203,그릭그릭,37.5260021,127.0275825,서울 강남구 논현로175길 11 1층 103호,94,"1,000",4.3
204,카페 공영,37.5195463,127.0502201,"서울 강남구 삼성로 710 1층, 2층(청담동)",40,400,
205,레이브릭스,37.5205647,127.0244137,서울 강남구 논현로153길 46,445,"7,000",4.45
