tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floor_estate,floor_buliding,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,rest_N,day_pop,night_pop,score,2nPrc,평당가격,가성비,가성비_Rank,Score_Rank,Total_Rank
월세,190,"7,000",85,2,5,37.556096,126.924093,6945,33,129,50,8,1,166.5621592215878,2,44,508151.67,471457.29,22283850.12808415,115600000.0,1360000.0,0.0051066176470588,212,187,192.0
월세,380,"5,000",107,2,4,37.555307,126.925428,7753,45,117,42,6,1,209.64366888109447,2,39,508151.67,471457.29,22014944.61939712,141200000.0,1319626.168224299,0.0058751487252124,168,202,195.20000000000002
월세,360,"5,000",193,2,5,37.556819,126.925794,5756,31,127,51,6,1,55.187137390744304,2,43,508151.67,471457.29,21661895.535327744,136400000.0,706735.7512953368,0.008144486803519,81,225,196.2
월세,220,"3,000",56,2,4,37.550411,126.923262,5652,36,178,42,5,1,301.84272002170724,2,53,508151.67,471457.29,22767843.726623476,82800000.0,1478571.4285714286,0.0038226086956521,334,162,196.39999999999998
월세,500,"7,000",176,B1,3,37.548919,126.915109,3589,29,167,33,7,1,135.07881502752858,2,64,508151.67,471457.29,23062492.484798476,190000000.0,1079545.4545454546,0.003324547368421,393,148,197.0
월세,500,1억,142,3,9,37.544709,126.954281,3797,39,0,7,7,1,249.21485903440072,2,8,508151.67,471457.29,24052274.38238669,220000000.0,1549295.774647887,0.0024507909090909,523,118,199.0
월세,400,"7,000",73,4,5,37.549083,126.916912,8571,31,246,44,7,1,282.9010297883851,2,71,508151.67,471457.29,22704886.874999054,166000000.0,2273972.602739726,0.0037691746987951,337,165,199.4
월세,260,"4,000",91,2,5,37.549312,126.915095,3589,29,165,36,7,1,120.71646709526308,2,64,508151.67,471457.29,23085113.547657557,102400000.0,1125274.7252747254,0.003189443359375,415,146,199.8
월세,250,"5,000",132,5,6,37.555607,126.910115,910,34,114,45,4,1,54.43602691035253,2,38,508151.67,471457.29,31048113.626102474,110000000.0,833333.3333333334,0.0010919999999999,974,7,200.4
월세,380,"6,000",84,4,4,37.556701,126.926283,6495,32,120,48,5,1,96.45106430610994,2,38,508151.67,471457.29,22761555.859549575,151200000.0,1800000.0,0.0036083333333333,352,163,200.8
월세,550,"9,000",67,1,4,37.54832,126.918519,5890,30,250,47,8,2,387.8574288886072,2,67,508151.67,471457.29,25839505.74435711,222000000.0,3313432.835820896,0.0017776126126126,691,79,201.40000000000003
월세,250,"3,000",64,1,2,37.555494,126.925584,7753,42,116,41,6,1,189.6553336086684,2,36,508151.67,471457.29,21894160.002194285,90000000.0,1406250.0,0.0055132444444444,186,209,204.40000000000003
월세,600,1억,116,1,4,37.550516,126.920497,7549,33,244,51,7,1,374.2194001696069,2,71,508151.67,471457.29,22659443.918718558,244000000.0,2103448.275862069,0.003588868852459,358,168,206.0
월세,180,"3,000",42,1,2,37.545918,126.920979,7825,23,191,35,6,1,259.3035973801776,2,37,508151.67,471457.29,22212427.851643156,73200000.0,1742857.142857143,0.0044897540983606,263,192,206.20000000000002
월세,800,1억,194,1,2,37.548775,126.915256,3589,29,186,32,7,1,154.07205442829957,2,64,508151.67,471457.29,23736041.191854052,292000000.0,1505154.6391752576,0.0023844726027397,539,125,207.8
월세,150,"2,000",99,4,6,37.551196,126.921656,940,31,209,44,5,1,401.0664049394885,2,65,508151.67,471457.29,25840732.882993434,56000000.0,565656.5656565657,0.0016617857142857,731,78,208.60000000000002
