,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude
5921,월세,650,"7,000",147,2/3,북동향,37.562925,126.926168
5922,월세,220,"3,000",75,1/4,북서향,37.548654,126.92167
5923,월세,280,"5,000",32,B1/2,동향,37.550942,126.913787
5924,매매,0,"8억 5,000",32,B1/2,동향,37.550942,126.913787
5925,월세,500,"5,000",33,1/4,남서향,37.557411,126.925535
5926,월세,320,"5,000",52,1/1,북동향,37.547993,126.922519
5927,월세,70,"1,000",71,B1/4,북서향,37.545583,126.955193
5928,월세,180,"3,000",21,1/2,북서향,37.55218,126.920641
5929,월세,300,"5,000",50,1/4,북향,37.552886,126.923739
5930,월세,350,"5,000",70,1/4,서향,37.549231,126.918678
5931,월세,250,"2,000",76,3/3,동향,37.55039,126.920937
5932,월세,110,"1,500",28,1/4,,37.546146,126.941819
5933,월세,200,"2,400",39,2/4,남동향,37.561169,126.926094
5934,월세,360,"3,000",194,B2/6,동향,37.551329,126.910926
5935,월세,140,"2,500",82,B1/4,북서향,37.556005,126.927805
5936,월세,170,"2,000",70,B1/3,북동향,37.562528,126.924938
5937,월세,200,"3,000",82,B1/5,북서향,37.548171,126.92045
5938,월세,300,"3,000",67,3/3,동향,37.562925,126.926168
5939,월세,350,"4,000",80,2/3,동향,37.562925,126.926168
5940,월세,170,"2,000",49,3/4,동향,37.550294,126.920877
5941,월세,"1,000",1억,148,1/2,남향,37.541425,126.950692
5942,월세,200,"3,000",15,1/5,남향,37.546096,126.914408
5943,월세,150,"2,000",47,B1/6,서향,37.542239,126.939471
5944,월세,390,"5,000",66,1/6,북향,37.548896,126.915787
5945,월세,200,"2,000",82,3/4,북서향,37.541562,126.950477
5946,월세,88,"1,500",19,1/2,동향,37.561205,126.922549
5947,월세,750,1억,148,1/2,남향,37.541425,126.950692
5948,월세,407,"5,000",59,1/4,동향,37.55562,126.920671
5949,월세,140,"3,000",38,B1/4,남동향,37.548315,126.920852
5950,월세,90,"1,000",16,1/3,남동향,37.558062,126.905027
5951,월세,300,"3,000",57,1/3,남서향,37.561824,126.926045
5952,월세,230,"2,000",55,1/3,남향,37.549508,126.917519
5953,월세,200,"2,000",144,B1/3,남향,37.557887,126.928091
