tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,store_N,rest_N,day_pop,night_pop,2nPrc_str,2nPrc,평당가격,가성비,가성비_Rank,floor_estate,floor_buliding
월세,140,"2,000",107,3/5,,37.544486,126.934383,4283,26,0,0,8,1,391.7433176933109,8,0,0,508151.67,471457.29,"140*24+2,000",53600000.0,500934.5794392523,0.008550018656716419,72,3,5
월세,174,"2,320",115,B1/6,서향,37.54682,126.944957,4809,27,1,11,3,1,275.6957988038846,16,20,11,508151.67,471457.29,"174*24+2,320",64960000.0,564869.5652173914,0.008513469827586205,73,B1,6
월세,75,"1,000",49,1/1,남서향,37.546996,126.946123,4759,29,1,11,4,1,367.6470938621638,16,18,10,508151.67,471457.29,"75*24+1,000",28000000.0,571428.5714285715,0.008328249999999999,74,1,1
월세,400,"5,000",161,3/7,북향,37.550639,126.920526,7549,34,242,50,7,1,384.302837511385,0,102,71,508151.67,471457.29,"400*24+5,000",146000000.0,906832.2981366459,0.008324582191780823,75,3,7
월세,120,"1,000",33,1/5,,37.55157,126.917683,9743,31,236,45,6,1,419.26221519981686,2,103,74,508151.67,471457.29,"120*24+1,000",38800000.0,1175757.5757575757,0.008286572164948455,76,1,5
월세,130,"1,000",137,B1/4,남향,37.555275,126.916577,2481,43,105,26,5,0,582.3511097913672,0,50,24,508151.67,471457.29,"130*24+1,000",41200000.0,300729.92700729927,0.00824992718446602,77,B1,4
월세,110,"1,000",36,B1/5,동향,37.554217,126.926937,8287,40,108,25,4,1,358.1143992020258,2,47,26,508151.67,471457.29,"110*24+1,000",36400000.0,1011111.1111111111,0.008195934065934066,78,B1,5
월세,90,"2,000",45,B1/5,북향,37.551943,126.919485,7549,42,225,53,7,0,555.9022671938827,0,108,73,508151.67,471457.29,"90*24+2,000",41600000.0,924444.4444444445,0.008165985576923076,79,B1,5
월세,225,"4,000",82,1/5,남동향,37.553186,126.920239,9360,40,151,43,4,0,635.5177791003047,2,88,56,508151.67,471457.29,"225*24+4,000",94000000.0,1146341.463414634,0.008165106382978723,80,1,5
월세,360,"5,000",193,2/5,북향,37.556819,126.925794,5756,31,127,51,6,1,55.187137390744304,2,84,43,508151.67,471457.29,"360*24+5,000",136400000.0,706735.7512953368,0.008144486803519061,81,2,5
월세,103,"3,000",87,2/12,남향,37.583415,126.885976,5108,32,0,0,12,0,895.9443894606966,2,2,1,508151.67,471457.29,"103*24+3,000",54720000.0,628965.5172413794,0.00812127192982456,82,2,12
월세,250,"3,000",129,2/4,서향,37.551468,126.924083,5652,41,156,44,3,1,431.0874141529864,4,76,47,508151.67,471457.29,"250*24+3,000",90000000.0,697674.4186046511,0.008101200000000001,83,2,4
월세,230,"3,000",99,3/4,북서향,37.555872,126.923777,6945,33,121,48,9,1,203.80278346800884,2,82,43,508151.67,471457.29,"230*24+3,000",85200000.0,860606.0606060605,0.008069894366197183,84,3,4
