,dong,food,func,set,data
32,0.0,4.0,22.0,4.0,10844880.0
33,0.0,4.0,22.0,5.0,10013180.0
34,0.0,4.0,22.0,6.0,6742740.0
35,0.0,5.0,22.0,0.0,2764250.0
36,0.0,5.0,22.0,1.0,2994780.0
37,0.0,5.0,22.0,2.0,2940710.0
38,0.0,5.0,22.0,3.0,3131520.0
39,0.0,5.0,22.0,4.0,3782010.0
40,0.0,5.0,22.0,5.0,3562860.0
41,0.0,5.0,22.0,6.0,2543050.0
42,0.0,6.0,22.0,0.0,2126600.0
43,0.0,6.0,22.0,1.0,2387260.0
44,0.0,6.0,22.0,2.0,2451420.0
45,0.0,6.0,22.0,3.0,2522650.0
46,0.0,6.0,22.0,4.0,2830580.0
47,0.0,6.0,22.0,5.0,2059810.0
48,0.0,6.0,22.0,6.0,1415080.0
49,0.0,7.0,22.0,0.0,1859500.0
50,0.0,7.0,22.0,1.0,2085940.0
51,0.0,7.0,22.0,2.0,2057590.0
52,0.0,7.0,22.0,3.0,2130950.0
53,0.0,7.0,22.0,4.0,2145610.0
54,0.0,7.0,22.0,5.0,1197830.0
55,0.0,7.0,22.0,6.0,479050.0
56,0.0,8.0,22.0,0.0,2674940.0
57,0.0,8.0,22.0,1.0,2870920.0
58,0.0,8.0,22.0,2.0,3012660.0
59,0.0,8.0,22.0,3.0,3140060.0
60,0.0,8.0,22.0,4.0,3391290.0
61,0.0,8.0,22.0,5.0,1595190.0
62,0.0,8.0,22.0,6.0,866840.0
63,0.0,9.0,22.0,0.0,3390320.0
64,0.0,9.0,22.0,1.0,3686250.0
65,0.0,9.0,22.0,2.0,3706740.0
66,0.0,9.0,22.0,3.0,3807180.0
67,0.0,9.0,22.0,4.0,3821640.0
68,0.0,9.0,22.0,5.0,2301770.0
69,0.0,9.0,22.0,6.0,1969390.0
0,1.0,0.0,4.0,0.0,64.0
1,1.0,0.0,4.0,1.0,36.0
2,1.0,1.0,4.0,0.0,62.3
3,1.0,1.0,4.0,1.0,37.7
4,1.0,2.0,4.0,0.0,73.9
5,1.0,2.0,4.0,1.0,26.1
6,1.0,3.0,4.0,0.0,
7,1.0,3.0,4.0,1.0,
8,1.0,4.0,4.0,0.0,34.2
9,1.0,4.0,4.0,1.0,65.8
10,1.0,5.0,4.0,0.0,
11,1.0,5.0,4.0,1.0,
12,1.0,6.0,4.0,0.0,64.9
13,1.0,6.0,4.0,1.0,35.1
14,1.0,7.0,4.0,0.0,54.4
15,1.0,7.0,4.0,1.0,45.6
16,1.0,8.0,4.0,0.0,73.0
17,1.0,8.0,4.0,1.0,27.0
18,1.0,9.0,4.0,0.0,56.2
19,1.0,9.0,4.0,1.0,43.8
0,1.0,0.0,32.0,0.0,80770.0
1,1.0,0.0,32.0,1.0,306810.0
2,1.0,0.0,32.0,2.0,5323010.0
3,1.0,0.0,32.0,3.0,2229410.0
4,1.0,0.0,32.0,4.0,9813240.0
5,1.0,0.0,32.0,5.0,2910130.0
6,1.0,1.0,32.0,0.0,0.0
7,1.0,1.0,32.0,1.0,552100.0
8,1.0,1.0,32.0,2.0,18388650.0
9,1.0,1.0,32.0,3.0,5153320.0
10,1.0,1.0,32.0,4.0,11543380.0
11,1.0,1.0,32.0,5.0,470190.0
12,1.0,2.0,32.0,0.0,70130.0
13,1.0,2.0,32.0,1.0,1520.0
14,1.0,2.0,32.0,2.0,8552180.0
15,1.0,2.0,32.0,3.0,1398800.0
16,1.0,2.0,32.0,4.0,13419960.0
17,1.0,2.0,32.0,5.0,11535130.0
18,1.0,3.0,32.0,0.0,
19,1.0,3.0,32.0,1.0,
20,1.0,3.0,32.0,2.0,
21,1.0,3.0,32.0,3.0,
22,1.0,3.0,32.0,4.0,
23,1.0,3.0,32.0,5.0,
24,1.0,4.0,32.0,0.0,0.0
25,1.0,4.0,32.0,1.0,1608350.0
26,1.0,4.0,32.0,2.0,6936370.0
27,1.0,4.0,32.0,3.0,3208670.0
28,1.0,4.0,32.0,4.0,2023350.0
29,1.0,4.0,32.0,5.0,0.0
30,1.0,5.0,32.0,0.0,
31,1.0,5.0,32.0,1.0,
32,1.0,5.0,32.0,2.0,
33,1.0,5.0,32.0,3.0,
34,1.0,5.0,32.0,4.0,
35,1.0,5.0,32.0,5.0,
36,1.0,6.0,32.0,0.0,103260.0
37,1.0,6.0,32.0,1.0,0.0
38,1.0,6.0,32.0,2.0,549610.0
39,1.0,6.0,32.0,3.0,903070.0
40,1.0,6.0,32.0,4.0,6242340.0
41,1.0,6.0,32.0,5.0,3733520.0
42,1.0,7.0,32.0,0.0,63450.0
43,1.0,7.0,32.0,1.0,352640.0
44,1.0,7.0,32.0,2.0,3686860.0
45,1.0,7.0,32.0,3.0,1676010.0
46,1.0,7.0,32.0,4.0,3354710.0
47,1.0,7.0,32.0,5.0,450770.0
48,1.0,8.0,32.0,0.0,580260.0
49,1.0,8.0,32.0,1.0,189870.0
50,1.0,8.0,32.0,2.0,1850090.0
51,1.0,8.0,32.0,3.0,1176800.0
52,1.0,8.0,32.0,4.0,10513070.0
53,1.0,8.0,32.0,5.0,12852700.0
54,1.0,9.0,32.0,0.0,0.0
55,1.0,9.0,32.0,1.0,2184420.0
56,1.0,9.0,32.0,2.0,3295360.0
57,1.0,9.0,32.0,3.0,2013380.0
58,1.0,9.0,32.0,4.0,1312350.0
59,1.0,9.0,32.0,5.0,133130.0
0,1.0,0.0,31.0,0.0,2.0
1,1.0,0.0,31.0,1.0,14.0
2,1.0,0.0,31.0,2.0,220.0
3,1.0,0.0,31.0,3.0,79.0
4,1.0,0.0,31.0,4.0,239.0
5,1.0,0.0,31.0,5.0,51.0
6,1.0,1.0,31.0,0.0,0.0
7,1.0,1.0,31.0,1.0,24.0
8,1.0,1.0,31.0,2.0,668.0
9,1.0,1.0,31.0,3.0,246.0
10,1.0,1.0,31.0,4.0,412.0
11,1.0,1.0,31.0,5.0,6.0
12,1.0,2.0,31.0,0.0,1.0
13,1.0,2.0,31.0,1.0,0.0
14,1.0,2.0,31.0,2.0,161.0
15,1.0,2.0,31.0,3.0,12.0
16,1.0,2.0,31.0,4.0,97.0
17,1.0,2.0,31.0,5.0,75.0
18,1.0,3.0,31.0,0.0,
19,1.0,3.0,31.0,1.0,
20,1.0,3.0,31.0,2.0,
21,1.0,3.0,31.0,3.0,
22,1.0,3.0,31.0,4.0,
23,1.0,3.0,31.0,5.0,
24,1.0,4.0,31.0,0.0,0.0
25,1.0,4.0,31.0,1.0,193.0
26,1.0,4.0,31.0,2.0,709.0
27,1.0,4.0,31.0,3.0,380.0
28,1.0,4.0,31.0,4.0,247.0
29,1.0,4.0,31.0,5.0,0.0
30,1.0,5.0,31.0,0.0,
31,1.0,5.0,31.0,1.0,
32,1.0,5.0,31.0,2.0,
33,1.0,5.0,31.0,3.0,
34,1.0,5.0,31.0,4.0,
35,1.0,5.0,31.0,5.0,
36,1.0,6.0,31.0,0.0,2.0
37,1.0,6.0,31.0,1.0,0.0
38,1.0,6.0,31.0,2.0,49.0
39,1.0,6.0,31.0,3.0,92.0
40,1.0,6.0,31.0,4.0,345.0
41,1.0,6.0,31.0,5.0,153.0
42,1.0,7.0,31.0,0.0,2.0
43,1.0,7.0,31.0,1.0,28.0
44,1.0,7.0,31.0,2.0,295.0
45,1.0,7.0,31.0,3.0,123.0
46,1.0,7.0,31.0,4.0,230.0
47,1.0,7.0,31.0,5.0,18.0
48,1.0,8.0,31.0,0.0,5.0
49,1.0,8.0,31.0,1.0,1.0
50,1.0,8.0,31.0,2.0,93.0
51,1.0,8.0,31.0,3.0,37.0
52,1.0,8.0,31.0,4.0,249.0
53,1.0,8.0,31.0,5.0,262.0
54,1.0,9.0,31.0,0.0,0.0
55,1.0,9.0,31.0,1.0,578.0
56,1.0,9.0,31.0,2.0,604.0
57,1.0,9.0,31.0,3.0,395.0
58,1.0,9.0,31.0,4.0,238.0
59,1.0,9.0,31.0,5.0,24.0
0,1.0,0.0,12.0,0.0,36711.0
1,1.0,0.0,12.0,1.0,1834071.0
2,1.0,0.0,12.0,2.0,3248185.0
3,1.0,0.0,12.0,3.0,3501478.0
4,1.0,0.0,12.0,4.0,4205284.0
5,1.0,0.0,12.0,5.0,3123182.0
6,1.0,1.0,12.0,0.0,158557.0
7,1.0,1.0,12.0,1.0,2764338.0
8,1.0,1.0,12.0,2.0,5854228.0
9,1.0,1.0,12.0,3.0,5920519.0
10,1.0,1.0,12.0,4.0,6808576.0
11,1.0,1.0,12.0,5.0,4285350.0
12,1.0,2.0,12.0,0.0,20254.0
13,1.0,2.0,12.0,1.0,1220406.0
14,1.0,2.0,12.0,2.0,3928711.0
15,1.0,2.0,12.0,3.0,4543332.0
16,1.0,2.0,12.0,4.0,4430093.0
17,1.0,2.0,12.0,5.0,2049901.0
18,1.0,3.0,12.0,0.0,
19,1.0,3.0,12.0,1.0,
20,1.0,3.0,12.0,2.0,
21,1.0,3.0,12.0,3.0,
22,1.0,3.0,12.0,4.0,
23,1.0,3.0,12.0,5.0,
24,1.0,4.0,12.0,0.0,36747.0
25,1.0,4.0,12.0,1.0,1814586.0
26,1.0,4.0,12.0,2.0,3855584.0
27,1.0,4.0,12.0,3.0,3023227.0
28,1.0,4.0,12.0,4.0,2604360.0
29,1.0,4.0,12.0,5.0,1233117.0
30,1.0,5.0,12.0,0.0,
31,1.0,5.0,12.0,1.0,
32,1.0,5.0,12.0,2.0,
33,1.0,5.0,12.0,3.0,
34,1.0,5.0,12.0,4.0,
35,1.0,5.0,12.0,5.0,
36,1.0,6.0,12.0,0.0,139218.0
37,1.0,6.0,12.0,1.0,1334320.0
38,1.0,6.0,12.0,2.0,2199124.0
39,1.0,6.0,12.0,3.0,3028886.0
40,1.0,6.0,12.0,4.0,2754509.0
41,1.0,6.0,12.0,5.0,1142544.0
42,1.0,7.0,12.0,0.0,36646.0
43,1.0,7.0,12.0,1.0,921622.0
44,1.0,7.0,12.0,2.0,1780037.0
45,1.0,7.0,12.0,3.0,1968624.0
46,1.0,7.0,12.0,4.0,1985318.0
47,1.0,7.0,12.0,5.0,1425927.0
48,1.0,8.0,12.0,0.0,28041.0
49,1.0,8.0,12.0,1.0,3840991.0
50,1.0,8.0,12.0,2.0,4837775.0
51,1.0,8.0,12.0,3.0,5548030.0
52,1.0,8.0,12.0,4.0,5485629.0
53,1.0,8.0,12.0,5.0,2703919.0
54,1.0,9.0,12.0,0.0,66430.0
55,1.0,9.0,12.0,1.0,2043743.0
56,1.0,9.0,12.0,2.0,2507499.0
57,1.0,9.0,12.0,3.0,1722662.0
58,1.0,9.0,12.0,4.0,1592392.0
59,1.0,9.0,12.0,5.0,570279.0
0,1.0,0.0,11.0,0.0,1.0
1,1.0,0.0,11.0,1.0,59.0
2,1.0,0.0,11.0,2.0,99.0
3,1.0,0.0,11.0,3.0,112.0
4,1.0,0.0,11.0,4.0,144.0
5,1.0,0.0,11.0,5.0,106.0
6,1.0,1.0,11.0,0.0,10.0
