,ARS-ID,정류소명,X좌표,Y좌표
293,14545,와우공원입구,126.9300208,37.55318113
294,14546,마포소방서,126.9326945,37.5490809
295,14547,광흥창역.서강동주민센터,126.932547,37.54825181
296,14548,대흥역,126.9410725,37.54807164
297,14549,동교초등학교,126.9029521,37.55681141
298,14550,마포농수산물시장.월드컵경기장,126.8972676,37.56606894
299,14551,마포새빛문화숲,126.9179054,37.54528965
300,14552,경성고교입구,126.9166359,37.56011118
301,14553,대룡빌딩,126.9222717,37.56368213
302,14554,열린마트,126.9515801,37.54203638
303,14555,성원아파트,126.9015668,37.55671025
304,14556,한강공원입구,126.8992249,37.55622911
305,14557,금호태영아파트,126.9317249,37.55372008
306,14558,경의선책거리.산울림소극장,126.9303701,37.55492495
307,14559,신수동성당.신수동주민센터,126.9338505,37.54726044
308,14560,서강수협.신수중학교,126.93239,37.54531505
309,14561,용강초등학교,126.9432068,37.5471444
310,14562,하나은행망원동지점,126.9042806,37.55708913
311,14563,마포구청.마포구청역,126.9009459,37.56575039
312,14564,마포새빛문화숲후문,126.921036,37.54502866
313,14565,마포FM,126.9177139,37.56099649
314,14566,연남동주민센터,126.9230682,37.56408634
315,14567,도화현대1차아파트111동앞,126.9543656,37.54117514
316,14569,성원아파트,126.9371835,37.54717215
317,14570,한국출판콘텐츠센터,126.9354782,37.54458824
318,14571,서울여자중고등학교,126.9471496,37.54705538
319,14572,망원시장,126.9059847,37.55743923
320,14573,월드컵경기장역,126.9002903,37.56927041
321,14574,상수동,126.92305,37.54649067
322,14575,경성중고.홍익디자인고,126.9192591,37.56191397
323,14576,에덴지우아파트,126.9242178,37.5645908
324,14577,도화현대1차아파트,126.9554309,37.5404826
325,14579,망원유수지.마포구민체육센터,126.8990019,37.55590701
326,14582,마포세무서,126.9389468,37.54701628
327,14583,신수현대아파트.래미안웰스트림,126.936702,37.54371799
328,14584,염리삼성아파트,126.9475662,37.54848561
329,14585,망원역입구,126.9076978,37.55782498
330,14586,상수역,126.9230487,37.54728733
331,14587,코오롱아파트사거리,126.920851,37.56369831
332,14588,에덴맨션,126.9249462,37.56398392
333,14589,서부수도사업소,126.9598728,37.55680483
334,14590,화평교회,126.9011589,37.55443735
335,14591,신촌역,126.9348063,37.55562043
336,14592,굴다리시장,126.9414168,37.54627864
337,14593,신석초등학교,126.9386569,37.54316395
338,14594,일성여자중고등학교,126.9484113,37.54887345
339,14595,망원전철역,126.9098507,37.55603563
340,14596,상수두산아파트,126.924441,37.54754675
341,14597,경성중고후문,126.9202968,37.56437916
342,14598,하모니마트사거리,126.9253883,37.56336606
343,14599,만물사부동산,126.9607372,37.55534805
344,14600,하나님의교회,126.9553128,37.53933186
345,14601,MBC,126.8917373,37.57962812
346,14602,월드컵파크4단지,126.8877411,37.57780148
347,14603,상암중학교,126.8875406,37.57932414
348,14604,서울산업진흥원.국악방송,126.8890895,37.5808142
349,14605,우리기술사옥.한국지역정보개발원,126.8879858,37.58223778
350,14606,DMC빌,126.8855905,37.58238185
351,14607,우리금융상암센터.DMC빌,126.8854627,37.58191375
352,14608,도화현대1차아파트단지내,126.9548484,37.53994713
353,14610,상암고등학교,126.8825327,37.58097801
354,14611,상암월드컵파크6.7단지,126.8805398,37.58127348
355,14612,상암월드컵파크6.7단지,126.8806238,37.58105871
356,14613,상암고등학교,126.8836708,37.5806846
357,14614,스탠포드호텔,126.8861172,37.58242252
358,14615,스탠포드호텔,126.8856847,37.58245094
359,14616,월드컵파크6단지상가,126.8856639,37.57980675
360,14617,공덕역10번출구,126.9532849,37.54190643
361,14618,공덕역10번출구,126.9527968,37.54177032
362,14619,웨딩타운,126.951506,37.5568963
363,14620,상지초등학교,126.8814544,37.57972097
364,14622,아현전철역,126.9568347,37.55717411
365,14623,스탠포드호텔,126.8867297,37.58246906
366,14624,우리기술사옥.한국지역정보개발원,126.8878117,37.58202676
367,14625,전자회관,126.8886559,37.58080568
368,14626,상암중학교,126.8872133,37.57933049
369,14627,월드컵파크6단지,126.8873114,37.57817863
370,14628,YTN뉴스퀘어.CJE&M,126.8920591,37.57943739
371,14659,마포한강아이파크아파트,126.9041145,37.55242313
372,14661,중동초등학교,126.9101093,37.56682282
373,14662,대흥태영아파트,126.9430639,37.5457514
374,14663,용강동주민센터,126.9408173,37.54163769
375,14667,마포현대아파트,126.9491538,37.54877555
376,14669,성산초등학교,126.9123429,37.55422631
377,14670,서강초등학교,126.9262643,37.54749023
378,14671,경의선숲길공원입구,126.9190511,37.56589395
379,14672,대명아파트,126.9243117,37.56245057
380,14674,환일고등학교,126.9608191,37.55456232
381,14675,용산성당.현대홈타운,126.9531661,37.53760632
382,14676,가구단지,126.9607211,37.55802339
383,14677,하모니마트,126.905998,37.55228047
384,14678,성모병원사거리,126.9121224,37.56461395
385,14693,창전삼성아파트입구,126.9325189,37.55177868
386,14694,대흥세양아파트,126.944727,37.54484569
387,14700,아현1동경로당,126.9610258,37.55360566
388,14712,마포전철역,126.9445498,37.53961835
389,14713,공덕삼성3차아파트후문,126.951238,37.54915261
390,14714,고니빌딩,126.9140403,37.55451411
391,14715,서강쌍용아파트.광흥창역,126.9302872,37.54794592
392,14716,사천고가앞,126.9179122,37.56697087
393,14718,원효초등학교,126.9509197,37.53621232
394,14727,새서울의원,126.9070201,37.55125951
395,14738,창전삼성아파트104동,126.93149,37.55128247
